liga,position,name,team,score,active defence,aerial threat,chance prevention,composure,defensive heading,intelligent defence,involvement,progression,territorial dominance,minutes,age,transfer value,height,foot,passing quality,providing teammates,run quality,box threat,effectiveness,finishing,hold up play,poaching,pressing,dribbling,tier,spielertyp,rank,competition,markt,SC_PSV-99,SC_HSR Distance P60BIP,SC_Sprint Distance P60BIP,SC_HI Distance BIP P60BIP,SC_Explosive Acceleration to Sprint Count P60BIP,SC_HSR Distance OTIP P30OTIP,SC_Sprint Distance OTIP P30OTIP,SC_HI Distance OTIP P30OTIP,SC_Explosive Acceleration to Sprint Count OTIP P30OTIP,SC_TOP 3 Time to HSR,SC_TOP 3 Time to HSR post-COD,SC_TOP 3 Time to Sprint,SC_TOP 3 Time to 505 around 90,SC_Minutes,SC_BIP_raw,SC_OTIP_raw,SC_Burst_raw,Pct_Speed,Pct_BIP,Pct_OTIP,Pct_Burst,Pct_Speed_global,Pct_Burst_global,Pct_TimeToHSR_global,Pct_OTIP_global,Pct_BIP_global,Pct_SprintDist_global,Pct_HSRDist_global,Pct_ExpAccOTIP_global,Pct_ExpAccBIP_global,Pct_HSRDistOTIP_global,Physical Score,Physical Score 3L,BL Level,3L Level,Pct_involvement,Pct_finishing,Pct_providing teammates,Pct_dribbling,Pct_passing quality,Pct_box threat,Pct_pressing,Pct_run quality,Pct_poaching,Pct_aerial threat,Pct_hold up play,Pct_intelligent defence,Pct_progression,Pct_active defence,Pct_territorial dominance,Pct_chance prevention,Pct_composure,Pct_defensive heading,Pct_Score,OBV_Total Impact,OBV_Impact per 90,OBV_Shooting,OBV_Final Ball,OBV_Carries,OBV_Buildup Pass,OBV_Defense,OBV_Pen Area
SUI SL,Winger,Junior Kadile,Servette,1.62886987966943,,,,,,,0.9592984535417256,,,832,23.0,600000.0,182.0,Right,1.8621076278011024,2.8779942684880733,2.2505145665620154,1.3753168943596956,0.7750848986463206,2.266579304595659,,,0.1547360595744711,2.138196843455806,Tier 1,Dribbler,,,,30.92,678.52,356.02,1034.54,3.51,245.31,72.08,317.4,0.71,0.64,0.64,1.15,1.89,86.44,707.02,143.07999999999998,1.5795652173913044,92.14285714285714,91.83673469387756,59.18367346938776,86.73469387755102,91.68081494057724,93.2618025751073,72.68856447688565,50.48104131295982,95.6989247311828,83.1918505942275,22.07130730050934,78.74929258630448,98.0192416525184,3.395585738539898,92.4,77.6,🔥 Top-Athlet,—,97.95918367346938,96.93877551020408,100.0,100.0,100.0,97.95918367346938,79.59183673469387,100.0,,,,,,,,,,,100.0,59.0,76.0,56.0,64.0,74.0,47.0,51.0,58.0
U19 BL,Central Defender,Mathys Angély,Wolfsburg U19,1.600190897199389,1.3303024009292457,1.5371930262067168,0.8402992673938756,0.3041968109657507,1.2333552051781278,2.6206097951627,2.9531616360975854,1.002459005914594,2.580140926945906,136,19.0,,190.0,Left,,,,,,,,,,,Tier 4,Aggressiver Innenverteidiger,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,7.45721271393643,7.45721271393643,14.66992665036675,,,,,,,,,,,,,—,—,100.0,,,,,,,,,98.0440097799511,,100.0,93.39853300733496,96.57701711491444,99.75550122249388,97.799511002445,63.08068459657702,97.55501222493888,100.0,42.0,58.0,48.0,49.0,46.0,45.0,28.0,47.0
BL DE,Midfielder,Joshua Kimmich,Bayern München,1.4634605161182526,1.2200843038899905,,,,,1.9191936665566487,2.271477128923902,2.609725838130897,,2096,31.0,50000000.0,177.0,Right,2.6016546166973225,1.1510955592858412,,-0.5671904907775297,0.5016435062389482,,,,,,Tier 1,Spielmacher,,,,27.68,637.64,129.67,767.32,0.27,573.12,133.48,706.6,0.32,0.67,0.75,1.36,1.98,89.91,156.67,165.48,1.0552941176470587,38.297872340425535,39.76608187134503,82.45614035087719,75.43859649122807,55.30050083472455,71.18773946360153,62.80182232346242,85.05219206680584,40.73455759599332,40.31719532554257,36.68614357262104,75.8347245409015,47.20367278797997,93.15525876460768,63.2,70.3,🟡 Nah dran,—,100.0,,88.30409356725146,,100.0,15.204678362573098,,,,,,100.0,100.0,97.6608187134503,,,,,100.0,69.0,69.0,53.0,79.0,61.0,76.0,56.0,50.0
AUT BL,Midfielder,Moses Usor,LASK,1.4628607987639262,0.6573512363668972,,,,,1.16246458662864,1.197742388856627,1.5007640082430989,,311,24.0,2500000.0,181.0,Left,1.4920143124635556,2.849101930855808,,1.0220936001535783,1.8213543265432044,,,,,,Tier 1,Spielmacher,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,12.083333333333334,12.083333333333334,21.25,,,,,,,,,,,,,—,—,90.83333333333331,,98.33333333333331,,96.66666666666669,94.16666666666669,,,,,,95.0,97.5,69.16666666666667,,,,,100.0,74.0,66.0,76.0,74.0,71.0,39.0,59.0,70.0
U19 BL,Fullback,Montrell Culbreath,Bayer Leverkusen U19,1.4531103800643197,-0.1319887976582418,,0.7133193683211317,,,-0.4991054464716624,0.7993885011373436,1.923080555885191,1.2385935143295357,288,18.0,,172.0,,2.021782525708522,3.0229231993270576,3.99,,,,,,,,Tier 4,Offensiver Außenverteidiger,,,,31.35,839.68,439.83,1279.51,2.43,359.58,124.74,484.33,0.84,0.67,0.75,1.25,1.98,75.58,682.83,208.74,1.64,97.47899159663864,99.54545454545456,73.86363636363636,85.22727272727273,98.25014343086632,76.2841091492777,50.27272727272727,67.03958691910499,98.5083189902467,98.2788296041308,84.10786001147447,75.21514629948365,95.1520367183018,32.53012048192771,87.3,77.5,🔥 Top-Athlet,—,94.31818181818184,,100.0,,99.77272727272728,,,100.0,,,,8.181818181818182,100.0,20.0,94.77272727272728,98.1818181818182,,,97.72727272727272,68.0,78.0,67.0,68.0,80.0,34.0,45.0,74.0
RL West,Midfielder,Timothé Rupil,Schalke 04 II,1.434896709023222,1.4909141330317388,,,,,1.1973957467050729,2.189450946855412,3.0527185914402386,,122,22.0,175000.0,,Right,2.537615957683124,1.1442142957312211,,-0.5277684488042256,0.3946324495431934,,,,,,Tier 3,Spielmacher,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,8.860759493670885,8.860759493670885,16.455696202531644,,,,,,,,,,,,,—,—,100.0,,91.13924050632912,,100.0,5.69620253164557,,,,,,96.83544303797468,100.0,98.1012658227848,,,,,99.36708860759494,41.0,72.0,43.0,49.0,51.0,54.0,34.0,43.0
AUT BL,Central Defender,Anrie Chase,Salzburg,1.4139376156727144,2.0181601634794664,0.8246516090354143,0.1384011129597838,0.4388951793556769,1.559825462986419,2.022240445912732,2.4374112257625256,1.1456918649078556,2.1401614766545567,240,22.0,,188.0,Right,,,,,,,,,,,Tier 1,Aggressiver Innenverteidiger,,,,28.23,467.13,139.9,607.03,0.95,402.4,113.43,515.83,0.68,0.85,0.85,1.61,2.43,86.02,234.9,181.43,1.3011180124223602,31.14754098360656,71.21212121212122,69.6969696969697,69.6969696969697,41.75104228707564,15.363881401617252,6.150414276609306,78.5288862418106,78.35020845741512,60.125074449076834,58.10005955926146,81.32817153067302,87.70101250744491,89.30911256700416,22.9,78.5,⚫ Darunter,—,100.0,,,,,,,,,87.87878787878788,,100.0,90.9090909090909,100.0,100.0,71.21212121212122,59.09090909090909,100.0,100.0,33.0,54.0,43.0,50.0,44.0,33.0,20.0,44.0
RL West,Winger,Bernie Lennemann,Köln II,1.3670067816673983,,,,,,,0.3669742505378817,,,124,23.0,,,,-0.1667056924776506,3.46166451953115,1.8753464781069369,1.219324960982569,2.73913111770775,1.1011076980890515,,,-1.012213212163152,2.7184309146920493,Tier 3,Dribbler,,,,31.82,718.03,428.3,1146.33,4.72,360.34,125.15,485.49,1.26,0.69,0.72,1.35,2.1,53.06,900.3,251.15,2.0007407407407407,96.05263157894736,98.6206896551724,85.51724137931035,93.79310344827586,98.04753820033956,53.81974248927038,49.148418491484186,89.19071873231465,99.43406904357668,94.2840973401245,32.76740237691001,95.58573853989812,99.7453310696095,40.35087719298245,78.4,95.3,✅ BL-Niveau,—,82.06896551724138,82.75862068965517,100.0,100.0,37.24137931034483,97.24137931034484,1.3793103448275863,99.3103448275862,,,,,,,,,,,95.86206896551724,55.0,52.0,57.0,55.0,57.0,49.0,50.0,60.0
U19 BL,Central Defender,Gianluca Reschke,RB Leipzig U19,1.3579804724390572,1.2137794101496138,0.4743516820901665,0.4771400952122198,-0.0013731408267041,0.8567267158352508,1.1260569455517564,2.2836728188787343,3.6040213403176633,2.187448384742813,336,18.0,,,,,,,,,,,,,,Tier 4,Aggressiver Innenverteidiger,,,,27.18,549.51,150.96,700.47,0.34,513.04,145.47,658.51,0.0,0.78,,,2.39,76.44,184.96,145.47,0.0,8.30945558739255,61.12469437652812,69.68215158924205,14.66992665036675,9.559261465157832,,15.997450605481198,60.4526503871352,55.68790946992257,70.0714711137582,87.07564026206074,8.040500297796308,38.26682549136391,99.4639666468136,-9.6,59.3,—,—,99.51100244498777,,,,,,,,,61.61369193154034,,96.0880195599022,100.0,95.84352078239608,98.53300733496332,87.28606356968214,31.54034229828851,90.4645476772616,99.02200488997556,50.0,61.0,49.0,54.0,52.0,62.0,40.0,50.0
RL Nord,Winger,Tobias Bothe,Jeddeloh,1.3336388309131908,,,,,,,0.0712667181151244,,,285,20.0,,,,0.0815639259285882,1.6581946587806258,0.5721113880917739,3.99,2.6312460359104715,3.297415198667592,,,-0.3631104252077157,0.0640619779322581,Tier 3,Box-Threat,,,,29.88,876.64,418.15,1294.8,0.41,380.24,107.96,488.2,0.0,0.63,,,2.04,54.53,459.15,107.96,0.0,69.89247311827957,74.61538461538461,46.92307692307692,20.384615384615383,70.88285229202037,,77.22019464720195,29.76796830786644,69.94906621392191,93.49179400113186,77.36276174306734,15.534804753820032,19.21335597057159,50.65082059988681,-70.9,53.9,—,—,55.38461538461539,96.92307692307692,97.6923076923077,39.23076923076923,51.53846153846153,100.0,29.230769230769237,77.6923076923077,,,,,,,,,,,85.38461538461539,53.0,65.0,56.0,46.0,48.0,50.0,49.0,53.0
